process_date,Area,Cadena,despegar_hotel_id,eecc,Nombre_Hotel,hotel_country,PoS,check_in,check_out,los,adults,children,BML_buyers,currency,agency_name,VarBuyers,price_despegar (USD),buyers_best_price_competitor_total (USD),competitors_Min_Rate (USD),no_buyers_best_price_competitor_total (USD)
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,21/04/2026,24/04/2026,3,1,0,Meet,USD,VacationDeals,3.02%,828.0,853.0,810.0,981.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,26/03/2026,29/03/2026,3,2,1,Lose,USD,BookingPro,14.58%,1023.0,1172.0,1113.0,1347.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,15/08/2026,22/08/2026,7,2,0,Lose,USD,BookingPro,8.05%,2042.0,2206.0,2096.0,2537.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,05/11/2026,12/11/2026,7,4,0,Lose,USD,BookingPro,12.93%,2220.0,2507.0,2382.0,2883.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,09/01/2026,11/01/2026,2,2,0,Meet,USD,TripMaster,2.59%,572.0,586.0,557.0,674.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,20/03/2026,27/03/2026,7,2,1,Lose,USD,VacationDeals,12.37%,1692.0,1901.0,1806.0,2186.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,01/09/2026,08/09/2026,7,3,0,Lose,USD,TripMaster,7.90%,1287.0,1388.0,1319.0,1597.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,01/02/2026,04/02/2026,3,3,0,Lose,USD,WanderlustCo,6.08%,888.0,942.0,895.0,1084.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,03/11/2026,10/11/2026,7,2,0,Beat,USD,TravelCorp,-1.49%,1423.0,1402.0,1332.0,1612.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,07/10/2026,11/10/2026,4,2,0,Beat,USD,VacationDeals,-3.64%,752.0,725.0,688.0,833.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,14/10/2026,18/10/2026,4,2,0,Meet,USD,TripMaster,0.40%,1105.0,1110.0,1054.0,1276.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,21/10/2026,24/10/2026,3,3,1,Lose,USD,GlobalTravel,9.56%,1027.0,1125.0,1069.0,1294.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,30/09/2026,05/10/2026,5,2,0,Meet,USD,VacationDeals,1.29%,1596.0,1617.0,1536.0,1859.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,20/03/2026,30/03/2026,10,3,0,Lose,USD,WanderlustCo,8.18%,2686.0,2906.0,2761.0,3342.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,07/10/2026,21/10/2026,14,3,0,Lose,USD,WanderlustCo,6.36%,4170.0,4435.0,4213.0,5100.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,11/04/2026,14/04/2026,3,2,0,Beat,USD,VacationDeals,-4.26%,599.0,573.0,545.0,659.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,02/01/2026,07/01/2026,5,2,1,Meet,USD,TravelCorp,1.38%,2262.0,2293.0,2178.0,2637.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,04/04/2026,11/04/2026,7,2,0,Lose,USD,WanderlustCo,10.98%,1289.0,1431.0,1359.0,1645.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,04/12/2026,08/12/2026,4,3,0,Beat,USD,GlobalTravel,-0.22%,1719.0,1715.0,1629.0,1972.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,30/10/2026,03/11/2026,4,2,0,Meet,USD,TripMaster,2.83%,879.0,904.0,859.0,1039.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,12/08/2026,22/08/2026,10,3,0,Lose,USD,TripMaster,14.82%,3641.0,4181.0,3972.0,4808.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,17/09/2026,24/09/2026,7,2,1,Lose,USD,TravelCorp,11.02%,1403.0,1558.0,1480.0,1791.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,13/08/2026,17/08/2026,4,2,0,Beat,USD,TravelCorp,-0.52%,1197.0,1191.0,1131.0,1370.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,26/11/2026,01/12/2026,5,2,0,Beat,USD,TravelCorp,-4.29%,1646.0,1575.0,1496.0,1811.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,10/11/2026,15/11/2026,5,1,0,Beat,USD,GlobalTravel,-2.81%,1217.0,1183.0,1123.0,1360.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,23/08/2026,06/09/2026,14,1,1,Lose,USD,TripMaster,5.43%,6148.0,6482.0,6158.0,7454.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,05/01/2026,12/01/2026,7,3,1,Lose,USD,VacationDeals,14.23%,3901.0,4456.0,4233.0,5124.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,10/01/2026,17/01/2026,7,1,1,Meet,USD,VacationDeals,0.74%,1844.0,1858.0,1765.0,2137.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,13/03/2026,27/03/2026,14,2,0,Meet,USD,TripMaster,3.64%,4029.0,4176.0,3967.0,4802.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,10/07/2026,15/07/2026,5,3,0,Beat,USD,BookingPro,-3.51%,2095.0,2021.0,1920.0,2325.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,18/03/2026,01/04/2026,14,2,0,Lose,USD,BookingPro,11.38%,4061.0,4523.0,4297.0,5202.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,14/03/2026,16/03/2026,2,2,0,Beat,USD,WanderlustCo,-0.58%,681.0,677.0,643.0,779.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,23/03/2026,26/03/2026,3,1,1,Meet,USD,GlobalTravel,2.95%,1031.0,1062.0,1009.0,1221.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,26/09/2026,10/10/2026,14,2,1,Meet,USD,TripMaster,4.43%,3067.0,3203.0,3043.0,3684.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,28/06/2026,01/07/2026,3,3,1,Lose,USD,WanderlustCo,14.35%,1630.0,1864.0,1771.0,2144.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,31/07/2026,04/08/2026,4,1,0,Meet,USD,VacationDeals,0.38%,1755.0,1762.0,1674.0,2026.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,03/08/2026,17/08/2026,14,1,0,Lose,USD,VacationDeals,10.60%,7104.0,7856.0,7464.0,9035.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,19/07/2026,23/07/2026,4,1,0,Lose,USD,BookingPro,13.82%,2317.0,2637.0,2505.0,3032.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,30/04/2026,04/05/2026,4,3,0,Lose,USD,BookingPro,11.01%,1281.0,1422.0,1351.0,1635.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,21/07/2026,24/07/2026,3,1,0,Lose,USD,TripMaster,9.28%,1551.0,1695.0,1610.0,1949.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,22/10/2026,26/10/2026,4,3,0,Beat,USD,VacationDeals,-1.72%,1328.0,1306.0,1240.0,1501.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,07/08/2026,12/08/2026,5,2,0,Lose,USD,TripMaster,8.17%,2188.0,2367.0,2249.0,2722.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,01/04/2026,06/04/2026,5,2,0,Meet,USD,TravelCorp,3.37%,1747.0,1806.0,1715.0,2077.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,30/05/2026,06/06/2026,7,2,2,Lose,USD,TravelCorp,5.87%,1755.0,1858.0,1765.0,2137.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,01/09/2026,05/09/2026,4,2,0,Meet,USD,GlobalTravel,2.18%,1314.0,1343.0,1275.0,1544.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,31/12/2025,04/01/2026,4,3,0,Lose,USD,TravelCorp,12.09%,1633.0,1830.0,1739.0,2105.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,26/01/2026,29/01/2026,3,3,0,Lose,USD,TravelCorp,8.13%,1087.0,1176.0,1117.0,1352.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,21/09/2026,28/09/2026,7,1,2,Lose,USD,TravelCorp,8.39%,1800.0,1951.0,1853.0,2244.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,21/07/2026,25/07/2026,4,2,2,Lose,USD,TripMaster,11.88%,1324.0,1481.0,1407.0,1704.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,30/12/2025,06/01/2026,7,2,0,Meet,USD,VacationDeals,4.04%,1656.0,1723.0,1637.0,1982.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,31/10/2026,04/11/2026,4,2,0,Lose,USD,VacationDeals,14.46%,821.0,940.0,893.0,1081.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,05/12/2026,09/12/2026,4,2,0,Lose,USD,WanderlustCo,8.45%,930.0,1009.0,958.0,1160.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,14/05/2026,21/05/2026,7,2,0,Lose,USD,TripMaster,12.29%,2257.0,2535.0,2408.0,2915.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,06/08/2026,09/08/2026,3,3,2,Lose,USD,TravelCorp,7.10%,1096.0,1174.0,1116.0,1350.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,10/05/2026,17/05/2026,7,4,1,Lose,USD,BookingPro,8.35%,1368.0,1482.0,1408.0,1704.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,15/03/2026,22/03/2026,7,3,0,Lose,USD,GlobalTravel,7.20%,2233.0,2394.0,2274.0,2753.0
