Cartera - oidhotel → cadena,Oid,Nombre_Hotel,eecc,checkin,checkout,PoS,TakeRate,MejorTarifaB2B,faretypebase_B2B,MealPlan_B2B,cancelationbase_B2B,Var_B2B,PamBaseRate ($),ExpBaseRate ($),HBGBaseRate ($),roombase_pam,RoomCompetidor,contractcurrencybase_pam
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,01/01/2024,06/01/2024,AR,30%,GanaPAM,PACKAGE,BB,non_refundable,-7.46%,1135.09,1050.36,1406.23,Ocean View,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,15/01/2024,17/01/2024,AR,25%,GanaExp,PACKAGE,HB,refundable,7.90%,1021.85,1102.61,901.9,Suite,Superior Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,29/01/2024,02/02/2024,AR,31%,GanaExp,PACKAGE,FB,non_refundable,17.32%,308.33,361.73,297.89,Standard Room,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,12/02/2024,15/02/2024,AR,28%,GanaExp,PACKAGE,RO,non_refundable,9.69%,1324.93,1453.28,1386.78,Deluxe Room,Superior Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,26/02/2024,02/03/2024,AR,31%,GanaPAM,PACKAGE,FB,refundable,-7.58%,731.77,676.27,706.47,Ocean View,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,11/03/2024,16/03/2024,AR,26%,GanaExp,PACKAGE,BB,non_refundable,2.17%,466.71,476.82,442.17,Deluxe Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,25/03/2024,30/03/2024,AR,32%,GanaExp,PACKAGE,FB,refundable,12.15%,1461.98,1639.66,1794.75,Deluxe Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,08/04/2024,11/04/2024,AR,33%,GanaPAM,PACKAGE,FB,non_refundable,-0.94%,735.85,728.89,873.18,Ocean View,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,01/01/2024,03/01/2024,BR,32%,GanaExp,PACKAGE,RO,non_refundable,12.86%,511.39,577.14,464.13,Ocean View,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,15/01/2024,17/01/2024,BR,29%,GanaExp,PACKAGE,BB,refundable,10.38%,1523.19,1681.27,1751.26,Deluxe Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,29/01/2024,31/01/2024,BR,31%,GanaExp,PACKAGE,AI,refundable,14.10%,1672.44,1908.27,1749.87,Ocean View,Superior Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,12/02/2024,16/02/2024,BR,25%,GanaExp,PACKAGE,AI,non_refundable,4.28%,1630.82,1700.58,1507.28,Suite,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,26/02/2024,29/02/2024,BR,34%,GanaPAM,PACKAGE,FB,refundable,-6.95%,684.1,636.57,781.89,Suite,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,11/03/2024,16/03/2024,BR,29%,GanaExp,PACKAGE,AI,refundable,4.36%,1643.65,1715.3,1788.96,Suite,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,25/03/2024,30/03/2024,BR,26%,GanaPAM,PACKAGE,BB,refundable,-6.00%,643.2,604.61,634.97,Deluxe Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,08/04/2024,13/04/2024,BR,34%,GanaExp,PACKAGE,FB,refundable,3.87%,458.24,475.97,440.29,Suite,Superior Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,01/01/2024,06/01/2024,CL,33%,GanaPAM,PACKAGE,HB,refundable,-2.07%,348.81,341.58,362.07,Deluxe Room,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,15/01/2024,20/01/2024,CL,32%,GanaPAM,PACKAGE,HB,non_refundable,-2.23%,694.59,679.13,642.04,Ocean View,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,29/01/2024,03/02/2024,CL,31%,GanaPAM,PACKAGE,BB,refundable,-6.31%,679.32,636.43,661.62,Standard Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,12/02/2024,15/02/2024,CL,30%,GanaPAM,PACKAGE,AI,non_refundable,-7.04%,545.45,507.04,603.01,Standard Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,26/02/2024,02/03/2024,CL,31%,GanaPAM,PACKAGE,HB,non_refundable,-4.23%,494.51,473.58,524.72,Suite,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,11/03/2024,15/03/2024,CL,25%,GanaExp,PACKAGE,RO,non_refundable,1.56%,1044.24,1060.56,1163.24,Suite,Superior Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,25/03/2024,30/03/2024,CL,27%,GanaExp,PACKAGE,BB,refundable,14.32%,1007.79,1152.08,1008.4,Suite,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,08/04/2024,11/04/2024,CL,32%,GanaPAM,PACKAGE,RO,refundable,-5.50%,617.25,583.3,757.98,Ocean View,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,01/01/2024,05/01/2024,MX,31%,GanaExp,PACKAGE,FB,non_refundable,16.04%,313.47,363.76,377.62,Deluxe Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,15/01/2024,20/01/2024,MX,29%,GanaPAM,PACKAGE,AI,non_refundable,-1.22%,716.64,707.9,894.8,Suite,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,29/01/2024,02/02/2024,MX,28%,GanaExp,PACKAGE,RO,non_refundable,1.08%,539.03,544.85,619.13,Ocean View,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,12/02/2024,16/02/2024,MX,33%,GanaExp,PACKAGE,HB,refundable,12.42%,1135.63,1276.67,1280.46,Standard Room,Superior Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,26/02/2024,04/03/2024,MX,33%,GanaExp,PACKAGE,FB,refundable,6.27%,360.81,383.42,409.88,Ocean View,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,11/03/2024,15/03/2024,MX,25%,GanaPAM,PACKAGE,RO,non_refundable,-3.35%,693.89,670.64,704.71,Ocean View,Deluxe Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,25/03/2024,01/04/2024,MX,27%,GanaPAM,PACKAGE,HB,refundable,-1.10%,567.72,561.44,550.84,Deluxe Room,Standard Room,USD
Demo Chain Group,999991,Hotel Paradise Resort,demo.user1@example.com,08/04/2024,15/04/2024,MX,27%,GanaExp,PACKAGE,FB,refundable,7.00%,702.64,751.82,746.36,Ocean View,Standard Room,USD
Demo Chain Group,999992,Ocean View Grand,demo.user2@example.com,01/01/2024,08/01/2024,US,30%,GanaExp,OPAQUE,HB,non_refundable,17.86%,456.76,538.33,481.37,Standard Room,Standard Room,USD
